Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2025-08-04,202.9227752685547,297.3891906738281,211.64999389648438,297.8353271484375,222.33999633789062,432.45751953125,251.8813934326172,68.07891845703125,147.7272186279297,119.3499984741211,722.1641845703125,378.67169189453125,205.78590393066406,248.91534423828125,169.79368591308594,292.8363037109375,68.4351577758789,302.5125732421875,146.5601348876953,79.078857421875,533.7619018554688,74.43318176269531,179.98985290527344,149.7130584716797,346.2890319824219,261.9424133300781,239.46920776367188,340.8738098144531,42.22417449951172,99.3579330444336
2025-08-05,202.49366760253906,295.55718994140625,213.75,295.8902893066406,224.86000061035156,432.98602294921875,247.05978393554688,67.11473846435547,149.68336486816406,118.31999969482422,717.0713500976562,383.2358093261719,206.0375518798828,247.62127685546875,169.4958953857422,289.96026611328125,68.52447509765625,297.0833740234375,148.76048278808594,79.99976348876953,525.8995361328125,73.99545288085938,178.24993896484375,149.4647979736328,350.510009765625,264.10369873046875,249.4263916015625,336.17144775390625,41.94890213012695,99.0785903930664
2025-08-06,212.8019561767578,280.3794860839844,222.30999755859375,294.7930603027344,225.0399932861328,426.4946594238281,248.7368621826172,68.79459381103516,149.4290771484375,115.16999816894531,720.8809814453125,384.6179504394531,204.3319091796875,249.21170043945312,169.3469696044922,289.9403991699219,68.98097229003906,305.9231872558594,149.48402404785156,78.6629638671875,523.0994262695312,75.08977508544922,179.40988159179688,151.79849243164062,349.1561279296875,266.5039978027344,244.23912048339844,338.4728088378906,41.63431167602539,103.11915588378906
2025-08-07,219.56771850585938,280.4090576171875,223.1300048828125,293.985107421875,227.3300018310547,415.9250183105469,240.46127319335938,69.48045349121094,149.80075073242188,112.87999725341797,715.9075927734375,383.99151611328125,201.8619842529297,247.1174774169922,170.28012084960938,285.5517272949219,69.89397430419922,306.1717834472656,150.3958740234375,79.58386993408203,519.0137939453125,73.96560668945312,180.7598114013672,152.4241180419922,348.3597106933594,264.29290771484375,243.13607788085938,330.8513488769531,42.22417449951172,102.87971496582031
2025-08-08,228.86813354492188,283.8858337402344,222.69000244140625,296.6782531738281,229.1199951171875,415.32672119140625,240.0919189453125,71.35911560058594,151.61016845703125,112.43000030517578,717.4295043945312,385.66204833984375,201.61033630371094,240.94154357910156,172.0670166015625,287.3629150390625,69.80464935302734,303.7256774902344,151.9420623779297,79.90074157714844,520.2095947265625,73.80644226074219,182.689697265625,152.4439697265625,350.5797119140625,263.8049011230469,249.3170928955078,335.52386474609375,42.42079544067383,103.48829650878906
2025-08-11,226.95997619628906,280.79315185546875,221.3000030517578,295.4813232421875,225.9600067138672,407.3695983886719,232.27552795410156,70.24583435058594,150.08438110351562,112.55000305175781,715.4102783203125,385.3438415527344,201.7408447265625,235.0042724609375,172.55345153808594,288.1590270996094,70.21153259277344,302.6418151855469,153.9342498779297,79.2471923828125,519.9405517578125,73.63731384277344,182.0497283935547,153.9037628173828,352.9888000488281,263.1973571777344,250.7877960205078,334.64715576171875,42.450286865234375,103.68782806396484
2025-08-12,229.42758178710938,280.684814453125,221.47000122070312,302.44366455078125,232.61000061035156,411.52764892578125,231.25730895996094,70.95156860351562,151.0526580810547,113.72000122070312,739.4217529296875,393.76605224609375,202.26278686523438,233.482666015625,171.52101135253906,291.4331359863281,70.17183685302734,299.93719482421875,156.45175170898438,79.51455688476562,527.3843383789062,74.51277160644531,183.14967346191406,154.01300048828125,356.48309326171875,262.8686828613281,259.9301452636719,336.0743103027344,42.51910400390625,103.37854766845703
2025-08-13,233.10403442382812,284.96923828125,224.55999755859375,306.09442138671875,233.3699951171875,412.51483154296875,236.6179656982422,69.97745513916016,152.4512939453125,116.63999938964844,740.7247924804688,404.8829650878906,204.80726623535156,238.7536163330078,173.14906311035156,289.1243591308594,69.92374420166016,303.3478088378906,158.7809295654297,81.9009780883789,518.7546997070312,76.80087280273438,181.5797576904297,154.33078002929688,367.17486572265625,268.2170715332031,270.1059265136719,341.8728332519531,42.97132873535156,100.75466918945312
2025-08-14,232.5545654296875,285.914794921875,230.97999572753906,306.9522399902344,233.19000244140625,416.3039245605469,232.96432495117188,68.8840560913086,151.7568817138672,116.30999755859375,743.221435546875,398.0616760253906,203.3719024658203,235.80982971191406,173.44688415527344,292.7367858886719,69.02067565917969,307.2059326171875,155.2623748779297,81.95049285888672,520.6480102539062,75.99506378173828,182.00973510742188,152.67237854003906,363.92950439453125,267.50994873046875,269.7879333496094,344.8070068359375,42.76487731933594,100.61499786376953
2025-08-15,231.36570739746094,292.0016174316406,231.02999877929688,304.69793701171875,235.25999450683594,406.62176513671875,242.01856994628906,65.80265808105469,153.11639404296875,115.38999938964844,726.8291625976562,397.1269836425781,203.09083557128906,238.405517578125,175.35289001464844,289.08453369140625,69.38784790039062,307.1860046386719,151.0401153564453,83.38630676269531,518.3461303710938,76.57206726074219,180.4398193359375,153.28807067871094,363.5503845214844,264.5220031738281,302.10406494140625,343.7890319824219,43.492374420166016,100.0
